"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.595,7.33,1,"NA","NA",-0.439,0.645,-0.355,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.561,8.92,1,"NA","NA",-0.439,0.645,-0.355,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.212,7.44,1,"NA","NA",-0.333,0.716,-0.284,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.87,5.97,1,"NA","NA",-0.332,0.717,-0.283,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.524,8.27,1,"NA","NA",-0.302,0.739,-0.261,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.628,9.94,1,"NA","NA",-0.302,0.739,-0.261,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.577,9.22,1,"NA","NA",-0.282,0.754,-0.246,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.839,5.78,1,"NA","NA",-0.189,0.828,-0.172,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.876,6.38,1,"NA","NA",-0.174,0.84,-0.16,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.621,6.74,1,"NA","NA",-0.094,0.91,-0.09,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.367,9.67,1,"NA","NA",-0.084,0.919,-0.081,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.744,4.57,1,"NA","NA",-0.074,0.928,-0.072,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.87,5.97,1,"NA","NA",-0.032,0.968,-0.032,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.87,5.97,1,"NA","NA",-0.028,0.973,-0.027,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.699,6.35,1,"NA","NA",-0.028,0.973,-0.027,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.839,5.78,1,"NA","NA",-0.023,0.977,-0.023,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.801,8.6,1,"NA","NA",-0.02,0.98,-0.02,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.232,10.53,1,"NA","NA",-0.02,0.98,-0.02,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.232,10.53,1,"NA","NA",-0.017,0.983,-0.017,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.2,8.18,1,"NA","NA",-0.017,0.983,-0.017,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.639,4.25,1,"NA","NA",-0.012,0.988,-0.012,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.788,4.58,1,"NA","NA",-0.01,0.99,-0.01,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.744,4.57,1,"NA","NA",-0.008,0.992,-0.008,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.841,8.85,1,"NA","NA",-0.005,0.995,-0.005,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.744,4.57,1,"NA","NA",-0.002,0.998,-0.002,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.2,8.18,1,"NA","NA",0.004,1.004,0.004,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.876,6.38,1,"NA","NA",0.004,1.004,0.004,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.699,6.35,1,"NA","NA",0.011,1.011,0.011,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.87,5.97,1,"NA","NA",0.013,1.014,0.014,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.595,7.33,1,"NA","NA",0.013,1.013,0.013,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.834,5.62,1,"NA","NA",0.021,1.021,0.021,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.653,7.52,1,"NA","NA",0.025,1.026,0.026,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.788,4.58,1,"NA","NA",0.033,1.034,0.034,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.524,8.27,1,"NA","NA",0.033,1.033,0.033,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.192,9.28,1,"NA","NA",0.035,1.035,0.035,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.788,4.58,1,"NA","NA",0.038,1.038,0.038,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.839,5.78,1,"NA","NA",0.038,1.038,0.038,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.621,6.74,1,"NA","NA",0.038,1.038,0.038,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.699,6.35,1,"NA","NA",0.043,1.044,0.044,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.698,9.95,1,"NA","NA",0.043,1.044,0.044,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.524,8.27,1,"NA","NA",0.044,1.045,0.045,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.268,9.85,1,"NA","NA",0.044,1.044,0.044,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.699,6.35,1,"NA","NA",0.047,1.048,0.048,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.621,6.74,1,"NA","NA",0.048,1.049,0.049,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.232,10.53,1,"NA","NA",0.049,1.05,0.05,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.744,4.57,1,"NA","NA",0.056,1.058,0.058,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.639,4.25,1,"NA","NA",0.061,1.063,0.063,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.212,7.44,1,"NA","NA",0.062,1.064,0.064,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.841,8.85,1,"NA","NA",0.062,1.064,0.064,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.561,8.92,1,"NA","NA",0.064,1.066,0.066,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.192,9.28,1,"NA","NA",0.064,1.066,0.066,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.639,4.25,1,"NA","NA",0.065,1.067,0.067,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.2,8.18,1,"NA","NA",0.068,1.071,0.071,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.758,7.66,1,"NA","NA",0.07,1.072,0.072,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.192,11.14,1,"NA","NA",0.077,1.08,0.08,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.801,8.6,1,"NA","NA",0.082,1.086,0.086,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.594,9.36,1,"NA","NA",0.083,1.087,0.087,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.841,8.85,1,"NA","NA",0.087,1.09,0.09,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.628,9.94,1,"NA","NA",0.087,1.09,0.09,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.839,5.78,1,"NA","NA",0.089,1.094,0.094,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.192,11.14,1,"NA","NA",0.089,1.094,0.094,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.758,7.66,1,"NA","NA",0.091,1.096,0.096,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.834,5.62,1,"NA","NA",0.094,1.098,0.098,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.628,9.94,1,"NA","NA",0.096,1.101,0.101,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.268,9.85,1,"NA","NA",0.098,1.103,0.103,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.801,8.6,1,"NA","NA",0.099,1.104,0.104,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.259,8.12,1,"NA","NA",0.1,1.105,0.105,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.367,9.67,1,"NA","NA",0.102,1.107,0.107,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.653,7.52,1,"NA","NA",0.103,1.109,0.109,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.192,11.14,1,"NA","NA",0.11,1.116,0.116,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.626,9.17,1,"NA","NA",0.118,1.125,0.125,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.561,8.92,1,"NA","NA",0.119,1.127,0.127,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.626,9.17,1,"NA","NA",0.12,1.127,0.127,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.192,9.28,1,"NA","NA",0.12,1.127,0.127,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.834,5.62,1,"NA","NA",0.123,1.131,0.131,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.254,10.57,1,"NA","NA",0.125,1.133,0.133,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.876,6.38,1,"NA","NA",0.125,1.133,0.133,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",400,0.788,4.58,1,"NA","NA",0.125,1.133,0.133,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.621,6.74,1,"NA","NA",0.137,1.147,0.147,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.577,9.22,1,"NA","NA",0.139,1.149,0.149,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.212,7.44,1,"NA","NA",0.146,1.157,0.157,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.687,9.92,1,"NA","NA",0.148,1.16,0.16,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.628,9.94,1,"NA","NA",0.151,1.163,0.163,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.841,8.85,1,"NA","NA",0.154,1.167,0.167,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.594,9.36,1,"NA","NA",0.155,1.167,0.167,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.367,9.67,1,"NA","NA",0.156,1.169,0.169,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.801,8.6,1,"NA","NA",0.156,1.169,0.169,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.698,9.95,1,"NA","NA",0.159,1.172,0.172,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",500,0.834,5.62,1,"NA","NA",0.161,1.175,0.175,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.758,7.66,1,"NA","NA",0.163,1.176,0.176,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.758,7.66,1,"NA","NA",0.167,1.182,0.182,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",600,0.876,6.38,1,"NA","NA",0.168,1.183,0.183,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.626,9.17,1,"NA","NA",0.169,1.184,0.184,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.594,9.36,1,"NA","NA",0.169,1.184,0.184,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.212,7.44,1,"NA","NA",0.172,1.188,0.188,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.594,9.36,1,"NA","NA",0.177,1.193,0.193,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.687,9.92,1,"NA","NA",0.179,1.196,0.196,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.595,7.33,1,"NA","NA",0.188,1.207,0.207,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.192,9.28,1,"NA","NA",0.19,1.209,0.209,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.236,10.65,1,"NA","NA",0.193,1.213,0.213,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.561,8.92,1,"NA","NA",0.196,1.216,0.216,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.254,10.57,1,"NA","NA",0.198,1.219,0.219,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.236,10.65,1,"NA","NA",0.2,1.222,0.222,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Wood",300,0.639,4.25,1,"NA","NA",0.203,1.225,0.225,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.577,9.22,1,"NA","NA",0.203,1.225,0.225,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.687,9.92,1,"NA","NA",0.208,1.231,0.231,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.254,10.57,1,"NA","NA",0.21,1.234,0.234,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.192,11.14,1,"NA","NA",0.214,1.239,0.239,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.687,9.92,1,"NA","NA",0.235,1.265,0.265,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.236,10.65,1,"NA","NA",0.238,1.268,0.268,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",600,0.236,10.65,1,"NA","NA",0.243,1.275,0.275,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.577,9.22,1,"NA","NA",0.246,1.278,0.278,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.626,9.17,1,"NA","NA",0.248,1.282,0.282,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",500,0.254,10.57,1,"NA","NA",0.254,1.29,0.29,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.698,9.95,1,"NA","NA",0.255,1.29,0.29,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.259,8.12,1,"NA","NA",0.277,1.32,0.32,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,2.6,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.595,7.33,1,"NA","NA",0.28,1.324,0.324,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.268,9.85,1,"NA","NA",0.281,1.325,0.325,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,6.5,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.698,9.95,1,"NA","NA",0.285,1.33,0.33,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",400,0.268,9.85,1,"NA","NA",0.335,1.397,0.397,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.259,8.12,1,"NA","NA",0.358,1.43,0.43,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Manure",300,0.259,8.12,1,"NA","NA",0.377,1.459,0.459,1
"(Rodríguez et al. 2011)","Maize","cereal","Biomass",,50,100,4.5,"NA","NA","NA","NA","NA",,"Nonwood","NA",0.65,9,1,6.25,-73.5,1.111,3.037,2.037,1
"(Rodríguez et al. 2011)","Maize","cereal","Biomass",,50,0,4.5,"NA","NA","NA","NA","NA",,"Nonwood","NA",0.65,9,1,6.25,-73.5,1.657,5.242,4.242,1
"(Rondon et al. 2007)","Beans","legume","Biomass",,145.8,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,-0.316,0.729,-0.271,1
"(Rondon et al. 2007)","Beans","legume","Biomass",,145.8,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,-0.267,0.766,-0.234,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,145.8,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,-0.188,0.829,-0.171,1
"(Rondon et al. 2007)","Beans","legume","Biomass",,48.6,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0,1,0,1
"(Rondon et al. 2007)","Beans","legume","Grain",,48.6,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0,1,0,1
"(Rondon et al. 2007)","Beans","legume","Biomass",,97.2,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0,1,0,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,145.8,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.066,1.068,0.068,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,48.6,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.108,1.114,0.114,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,97.2,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.108,1.114,0.114,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,48.6,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.241,1.273,0.273,1
"(Rondon et al. 2007)","Beans","legume","Grain",,145.8,20,5.13,10.25,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.268,1.308,0.308,1
"(Rondon et al. 2007)","Beans","legume","Grain",,97.2,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.272,1.313,0.313,1
"(Rondon et al. 2007)","Beans","legume","Biomass (total)",,97.2,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.327,1.386,0.386,1
"(Rondon et al. 2007)","Beans","legume","Biomass",,48.6,20,5.04,10.82,"NA","NA","NA","NA","Heavy","Wood",350,0.823,7,1,4.19,-72.39,0.44,1.553,0.553,1
